Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Abietinella;Bretschneidera sinensis;Escherichia virus phiX174;Exophiala aquamarina;Abies;Abacopteris;Aa
Acanthocladiella;Dromaius novaehollandiae;Streptomyces phage Warpy;Aspergillus mulundensis;Abutua;Abrodictyum;Aaronsohnia
Acanthocladium;Hevea brasiliensis;Streptomyces phage YDN12;Cordyceps fumosorosea;Acmopyle;Achomanes;Abacopteris
Acanthocoleus;Phoenix dactylifera;Streptomyces phage Karimac;Fusarium venenatum;Actinostrobus;Aconiopteris;Abacosa
Acanthodium;Branchiostoma floridae;Streptomyces phage Manuel;Phialocephala subalpina;Afrocarpus;Acropelta;Abarema
Acantholejeunea;Trifolium microdon;uncultured marine virus;Stemphylium lycopersici;Agathis;Acrophorus;Abasoloa
Acanthorrhynchium;Diachasmimorpha sp. M131;Euphorbia caput-medusae latent virus;Diplodia corticola;Amentotaxus;Acropteris;Abatia
Acaulon;Sticholotis sp. ANIC-COL3621;Streptomyces phage Percastrophe;Necator americanus;Araucaria;Acropterygium;Abbevillea
Acaulonopsis;Dissostichus mawsoni;Human gammaherpesvirus 4;Stereum hirsutum;Athrotaxis;Acrorumohra;Abdominea
Achrophyllum;Fraxinus gooddingii;Plantago latent caulimovirus;Colletotrichum aenigma;Austrocedrus;Acrosorus;Abelia
Achyrophyllum;Anoplophora glabripennis;Streptomyces phage Samisti12;Grosmannia clavigera;Austrotaxus;Acrostichum;Abelicea
Acidodontium;Pantherophis guttatus;Streptomyces phage StarPlatinum;Trichoderma asperellum;Bowenia;Actiniopteris;Abeliophyllum
Acolea;Broussonetia papyrifera;;Plectania melastoma;Callitris;Actinophlebia;Abelmoschus
Acosta;Helianthus paradoxus;;Bipolaris maydis;Callitropsis;Actinostachys;Aberemoa
Acritodon;Drosophila subobscura;;Trichoderma reesei;Calocedrus;Acystopteris;Aberia
Acrobolbus;Rhodanthemum gayanum;;Hygrophorus russula;Cathaya;Adectum;Abies
Acrochila;Curculionidae sp. INB045;;Hirsutella minnesotensis;Cedrus;Adenoderris;Abietinella
Acrocladiopsis;Festuca saximontana;;Flammulina velutipes;Cephalotaxus;Adenophorus;Abildgaardia
Acrocladium;Carlito syrichta;;Mucor amphibiorum;Ceratozamia;Adianthum;Abobra
Acrocryphaea;Aegilops uniaristata;;Diaporthe longicolla;Chamaecyparis;Adiantopsis;Abolboda
Acrolejeunea;Echinochloa phyllopogon;;Aspergillus flavus;Columbea;Adiantum;Aboriella
Acrolophozia;Poecilia reticulata;;Pertusaria propinqua;Cryptomeria;Aenigmopteris;Abrahamia
Acromastigum;Erodium foetidum subsp. foetidum;;Schizophyllum commune;Cunninghamia;Aetopteron;Abrodictyum
Acroporium;Schiedea haleakalensis;;Endocarpon pusillum;Cupressus;Afropteris;Abroma
Acroschisma;Knautia dinarica;;Postia placenta;Cycas;Aglaomorpha;Abronia
Acroscyphella;Gymnogyps californianus;;Ascobolus immersus;Dacrycarpus;Alansmia;Abrophyllum
Acroscyphus;Ixodes scapularis;;Cladophialophora bantiana;Dacrydium;Alcicornium;Abrotanella
Acrostolia;Lupinus angustifolius;;Sporothrix schenckii|Sporothrix;Dioon;Aleuritopteris;Abrus
Actinodontium;Onychostoma simum;;Pelodiscus sinensis;Diselma;Allantodia;Absinthium
Actinothuidium;Festuca altissima;;Plasmodium vivax;Encephalartos;Allosorus;Absolmsia
Adelocolia;Drosophila eugracilis;;Cordyceps militaris;Ephedra;Allostelites;Abuta
Adelothecium;Saussurea chabyoungsanica;;Setaria verticillata;Eutacta;Alsophila;Abutilon
Aequatoriella;Gekko japonicus;;Colletotrichum graminicola;Falcatifolium;Amauropelta;Abutua
Aerobryidium;Llerasia caucana;;Verticillium dahliae;Fitzroya;Amblia;Acacia
Aerobryopsis;Panicum sumatrense;;Plasmodium reichenowi;Fokienia;Amblovenatum;Acaciella
Aerobryum;Helianthus tuberosus|Helianthus petiolaris|Helianthus pauciflorus subsp. subrhomboideus;;Leptosphaeria biglobosa;Ginkgo;Amesium;Acaena
Aerolindigia;Astelia pumila;;Pleurotus cornucopiae;Glyptostrobus;Ampelopteris;Acalypha
Aitchisoniella;Poa alpina;;Agrocybe aegerita;Gnetum;Amphiblestra;Acampe
Algaria;Aotus nancymaae;;Leptogium hirsutum;Halocarpus;Amphicosmia;Acamptopappus
Alicularia;Leishmania major strain Friedlin;;Rhynchosporium secalis;Hesperopeuce;Amphidesmium;Acanthanthus
Aligrimmia;Platycodon grandiflorus;;Cladorrhinum globisporum;Juniperus;Amphineuron;Acantharia
Alleniella;Bouteloua gracilis;;Pithomyces chartarum;Keteleeria;Amphipterum;Acanthella
Allioniella;Sterkiella histriomuscorum;;Serpula lacrymans;Lagarostrobos;Amphoradenium;Acanthephippium
Allioniellopsis;Dioscorea elephantipes;;Aspergillus welwitschiae;Larix;Ananthacorus;Acanthobotrya
Allisonia;Merxmuellera tsaratananensis;;Pseudogymnoascus verrucosus;Lepidothamnus;Anapausia;Acanthocalycium
Allisoniella;Ooceraea biroi;;Meliniomyces bicolor;Lepidozamia;Anapeltis;Acanthocalyx
Allorgea;Festuca octoflora;;Tricholoma matsutake;Libocedrus;Anarthropteris;Acanthocarpus
Allorgella;Arabis alpina;;Thermothelomyces thermophila;Macrozamia;Anaxetum;Acanthocephalus
Alobiella;Magnolia stellata;;Phyllopsora corallina;Manoao;Aneimiaebotrys;Acanthocereus
Alobiellopsis;Lecythis zabucajo;;Grandibotrys xylophila;Margbensonia;Anemia;Acanthochlamys
Aloina;Ceramium sungminbooi;;Podospora anserina;Metasequoia;Anemidictyon;Acanthocladiella
Aloinella;Dichaetaria wightii;;Phanerochaete carnosa;Microbiota;Anetium;Acanthocladium
Alophosia;Spathiphyllum wallisii;;Trichoderma gamsii;Microcachrys;Angiopteris;Acanthocladium
Alsia;Zonotrichia albicollis;;Talaromyces marneffei;Microcycas;Anisocampium;Acanthocladus
Amazoopsis;Rhizostoma pulmo;;Pseudogymnoascus pannorum;Nageia;Anisogonium;Acanthocoleus
Amblyodon;Penstemon gracilis;;Cortinarius talus;Neocallitropsis;Anogramma;Acanthodesmos
Amblyodum;Australopyrum retrofractum;;Conocybe praticola;Neocupropsis;Anopteris;Acanthodium
Amblystegiella;Cucurbita pepo subsp. pepo;;Colletotrichum orchidophilum;Nothotsuga;Antigramma;Acanthodium
Amblystegium;Knautia rupicola;;Lyophyllum shimeji;Papuacedrus;Antiosorus;Acanthogilia
Amblytropis;Artemisia frigida;;Trichoderma virens;Parasitaxus;Antrophyum;Acantholejeunea
Ambuchanania;Ulex parviflorus subsp. parviflorus;;Phaeoacremonium minimum;Pherosphaera;Apalophlebia;Acantholimon
