A00627:602:H3HGVDSX7:4:1124:14814:2315:AAC_ACA;size=3	gi|1279112706|ref|XM_023024862.1|	79.808	1.17e-09	75.0	N/A	N/A	104	558	660
A00627:602:H3HGVDSX7:4:1141:17535:24596:ATT_CCC;size=2	gi|1149777741|ref|XR_002226604.1|	90.000	0.005	52.8	N/A	N/A	40	1531	1570
A00627:602:H3HGVDSX7:4:1115:9272:32456:CAT_GAG;size=1	gi|1315008845|ref|XM_008683116.3|	89.412	1.15e-19	108	N/A	N/A	85	453	537
A00627:602:H3HGVDSX7:4:1147:9534:12117:TTT_AGG;size=3	gi|1371043370|ref|XM_024456419.1|	92.029	8.60e-46	195	N/A	N/A	138	1183	1320
A00627:602:H3HGVDSX7:4:1120:19407:22044:TCC_CCC;size=1	gi|20198722|gb|AC098617.5|	100.000	4.24e-04	56.5	N/A	N/A	30	76376	76347
A00627:602:H3HGVDSX7:4:1127:30183:16908:AGT_ACG;size=2	gi|1190752754|gb|KY432787.1|	100.000	1.64e-132	483	N/A	N/A	261	100737	100477
A00627:602:H3HGVDSX7:4:1127:30183:16908:AGT_ACG;size=2	gi|1190752754|gb|KY432787.1|	100.000	1.64e-132	483	N/A	N/A	261	114547	114807
A00627:602:H3HGVDSX7:4:1150:1316:24846:TCT_ACA;size=1	gi|1443090779|ref|XM_026026985.1|	81.673	3.07e-50	209	N/A	N/A	251	318	568
A00627:602:H3HGVDSX7:4:1155:13069:16767:ATA_CCA;size=2	gi|1190752754|gb|KY432787.1|	100.000	1.64e-132	483	N/A	N/A	261	25675	25415
A00627:602:H3HGVDSX7:4:1129:28076:22811:TCC_CGG;size=1	gi|1189419115|gb|CP018157.1|	80.263	5.19e-38	169	N/A	N/A	228	21935	21708
A00627:602:H3HGVDSX7:4:1102:15682:19319:ACG_CAC;size=1	gi|1282798539|gb|MG560142.1|	95.000	2.52e-06	63.9	N/A	N/A	40	4002045	4002084
A00627:602:H3HGVDSX7:4:1119:20320:2550:TCC_GCG;size=1	gi|1371088683|ref|XR_002966577.1|	89.552	1.93e-12	84.2	N/A	N/A	67	975	910
